CELL_ID	LONGITUDE	LATITUDE
60309	112.644	35.1912
60310	112.581	35.0933
60311	112.6	35.0914
60312	112.567	35.0961
60313	112.601	35.0764
60314	112.588	35.07
60315	112.6	35.0683
60316	112.595	35.0706
60317	112.594	35.0692
60318	112.601	35.0653
60319	112.601	35.0661
60320	112.599	35.0642
60321	112.602	35.0758
60322	112.603	35.0775
60323	112.59	35.0675
60324	112.607	35.1011
60325	112.596	35.0767
60326	112.589	35.0764
60327	112.579	35.0686
60328	112.566	35.0817
60329	112.608	35.0739
60330	112.566	35.1128
60331	112.551	35.0956
60332	112.589	35.0692
60333	112.601	35.0833
60334	112.592	35.0672
60335	112.578	35.0908
60336	112.597	35.0903
60337	112.601	35.0733
60338	112.593	35.0702
60339	112.572	35.0711
60340	112.574	35.09
60341	112.611	35.0922
60342	112.567	35.0919
60343	112.589	35.0992
60344	112.567	35.0969
60345	112.595	35.0469
60346	112.569	35.0714
60347	112.574	35.0708
60348	112.594	35.073
60349	112.567	35.0944
60350	112.602	35.0903
60351	112.602	35.0942
60352	112.603	35.0653
60353	112.601	35.0833
60354	112.597	35.0903
