CELL_A	LONGITUDE_A	LATITUDE_A	CELL_B	LONGITUDE_B	LATITUDE_B
60052	112.721	35.1465	60063	112.712	35.1077
60052	112.721	35.1465	60121	112.75	35.1678
60052	112.721	35.1465	60135	112.752	35.1444
60052	112.721	35.1465	60244	112.694	35.1449
60052	112.721	35.1465	60300	112.723	35.1711
60052	112.721	35.1465	60308	112.729	35.1346
60053	112.657	35.0694	60146	112.66	35.0694
60053	112.657	35.0694	60245	112.63	35.0842
60053	112.657	35.0694	60289	112.662	35.0635
60053	112.657	35.0694	60302	112.636	35.0543
60054	112.602	35.0837	60056	112.602	35.0837
60054	112.602	35.0837	60203	112.602	35.0836
60054	112.602	35.0837	60213	112.61	35.0873
60054	112.602	35.0837	60228	112.606	35.0821
60054	112.602	35.0837	60350	112.602	35.0903
60055	112.601	35.0834	60056	112.602	35.0837
60055	112.601	35.0834	60203	112.602	35.0836
60055	112.601	35.0834	60228	112.606	35.0821
60055	112.601	35.0834	60322	112.603	35.0775
60055	112.601	35.0834	60353	112.601	35.0833
60056	112.602	35.0837	60203	112.602	35.0836
60056	112.602	35.0837	60227	112.597	35.0887
60056	112.602	35.0837	60257	112.602	35.0903
60056	112.602	35.0837	60333	112.601	35.0833
60056	112.602	35.0837	60350	112.602	35.0903
60056	112.602	35.0837	60353	112.601	35.0833
60057	112.55	34.9652	60058	112.57	34.9921
60057	112.55	34.9652	60137	112.525	34.9568
60057	112.55	34.9652	60176	112.591	34.9842
60058	112.57	34.9921	60100	112.601	35.0038
60058	112.57	34.9921	60176	112.591	34.9842
60058	112.57	34.9921	60241	112.578	35.0243
60058	112.57	34.9921	60251	112.55	35.0278
60059	112.579	35.1056	60077	112.573	35.1002
60059	112.579	35.1056	60149	112.584	35.0968
60059	112.579	35.1056	60156	112.586	35.1082
60059	112.579	35.1056	60191	112.566	35.1129
60059	112.579	35.1056	60209	112.576	35.1202
60059	112.579	35.1056	60270	112.569	35.1038
60059	112.579	35.1056	60293	112.585	35.1032
